"x1","x2","y"
2,186.577790468081,774.241743432957
1,342.795166841149,853.84479814607
5,149.633797385713,641.486595144845
4,124.037321037607,603.02134944129
0,-27.6154652513611,484.054535946667
3,109.572219738775,661.636326104431
0,364.997996627732,560.117086596499
4,442.926400234185,874.907543183517
2,556.170690851593,877.84897971586
3,102.92235830438,582.405226140189
5,350.05394779117,989.165913847237
1,292.084120063831,539.083491825505
4,193.956628979697,659.063280947053
3,-243.20165751964,768.877359824283
0,80.0783796189302,661.351531042731
1,32.6077898419831,671.616750522548
2,-8.20006397623877,399.843248680321
5,268.476552379543,1006.65472614737
1,-402.265710704115,786.04559801151
5,441.349906224233,635.603040362347
2,-189.97853498429,900.918002862512
3,64.5316058999913,664.114287823954
0,148.082437350996,717.823684151733
4,2.12364194336033,398.533622103388
2,453.889938651313,564.595407643802
1,53.269508506507,478.089561022316
3,224.977314383936,543.052167811841
0,-94.9214016646209,709.958728004299
5,13.096332832244,801.115413355697
4,20.2007467045595,668.454973470835
5,144.621142159737,701.502553237151
1,-146.951877028807,626.38176429095
2,387.980992328007,857.309768510795
3,78.1922295378086,646.110417553133
4,102.003663525223,697.673668540346
0,241.307363420595,387.359472921302
3,132.567057588114,623.306739747169
4,-25.5164770579797,807.866587676012
1,114.145717128926,598.281615381943
2,228.076744173193,585.04090812338
0,-169.821599606638,696.802754473712
